Ticker,Name
WWTECHHOL,W W TECHNOLOGY HOLDINGS LTD.
ZKOVALIN,KOVALAM INVESTMENT &amp; TRADING CO.LTD.
SVPGLOB,SVP GLOBAL VENTURES LTD.
MULTIIN,MULTIPLUS HOLDINGS LTD.
SKYLMILAR,SKYLINE MILLARS LTD.
REMIPRO,REMI PROCESS PLANT &amp; MACHINERY LTD.
ABCBEARS,ABC BEARINGS LTD.-$
BIMETAL,BIMETAL BEARINGS LTD.-$
TAPARIA,TAPARIA TOOLS LTD.
BHARATGEAR,BHARAT GEARS LTD.
BRADYM,BRADY &amp; MORRIS ENGINEERING CO.LTD.
LATIMMETAL,La Tim Metal &amp; Industries Ltd
ELECON,ELECON ENGINEERING CO.LTD.
